IdEmp,numAula,dia,fecha,hora_ini,hora_fin
8950,1,1,13/05/2013,07:00,08:30
2961,2,1,13/05/2013,07:00,08:30
7955,3,1,13/05/2013,07:00,08:30
7763,4,1,13/05/2013,07:00,08:30
6341,5,1,13/05/2013,07:00,08:30
905,6,1,13/05/2013,07:00,08:30
2575,6,1,13/05/2013,07:00,08:30
2796,6,1,13/05/2013,07:00,08:30
9086,7,1,13/05/2013,07:00,08:30
8182,8,1,13/05/2013,07:00,08:30
6822,9,1,13/05/2013,07:00,08:30
7969,10,1,13/05/2013,07:00,08:30
8989,11,1,13/05/2013,07:00,08:30
8455,12,1,13/05/2013,07:00,08:30
2170,13,1,13/05/2013,07:00,08:30
8692,14,1,13/05/2013,07:00,08:30
2941,15,1,13/05/2013,07:00,08:30
7117,16,1,13/05/2013,07:00,08:30
8182,17,1,13/05/2013,07:00,08:30
2482,18,1,13/05/2013,07:00,08:30
9108,19,1,13/05/2013,07:00,08:30
8281,19,1,13/05/2013,07:00,08:30
6178,20,1,13/05/2013,07:00,08:30
6556,21,1,13/05/2013,07:00,08:30
6870,22,1,13/05/2013,07:00,08:30
3938,23,1,13/05/2013,07:00,08:30
8182,24,1,13/05/2013,07:00,08:30
8182,25,1,13/05/2013,07:00,08:30
2780,26,1,13/05/2013,07:00,08:30
8461,27,1,13/05/2013,07:00,08:30
1737,28,1,13/05/2013,07:00,08:30
8461,1,2,14/05/2013,07:00,08:30
2796,2,2,14/05/2013,07:00,08:30
7969,3,2,14/05/2013,07:00,08:30
8261,4,2,14/05/2013,07:00,08:30
905,4,2,14/05/2013,07:00,08:30
7763,4,2,14/05/2013,07:00,08:30
8182,5,2,14/05/2013,07:00,08:30
8182,6,2,14/05/2013,07:00,08:30
8177,7,2,14/05/2013,07:00,08:30
8455,8,2,14/05/2013,07:00,08:30
2575,8,2,14/05/2013,07:00,08:30
8726,8,2,14/05/2013,07:00,08:30
9086,9,2,14/05/2013,07:00,08:30
6178,10,2,14/05/2013,07:00,08:30
6822,11,2,14/05/2013,07:00,08:30
2170,12,2,14/05/2013,07:00,08:30
2941,13,2,14/05/2013,07:00,08:30
9105,14,2,14/05/2013,07:00,08:30
9116,15,2,14/05/2013,07:00,08:30
1234,16,2,14/05/2013,07:00,08:30
6313,17,2,14/05/2013,07:00,08:30
8182,18,2,14/05/2013,07:00,08:30
8182,19,2,14/05/2013,07:00,08:30
8281,20,2,14/05/2013,07:00,08:30
9108,20,2,14/05/2013,07:00,08:30
6996,21,2,14/05/2013,07:00,08:30
6691,22,2,14/05/2013,07:00,08:30
8989,23,2,14/05/2013,07:00,08:30
2891,24,2,14/05/2013,07:00,08:30
3938,25,2,14/05/2013,07:00,08:30
8182,26,2,14/05/2013,07:00,08:30
8991,27,2,14/05/2013,07:00,08:30
1654,28,2,14/05/2013,07:00,08:30
8950,1,4,16/05/2013,07:00,08:30
2961,2,4,16/05/2013,07:00,08:30
9116,3,4,16/05/2013,07:00,08:30
9108,4,4,16/05/2013,07:00,08:30
8281,4,4,16/05/2013,07:00,08:30
8177,5,4,16/05/2013,07:00,08:30
6556,6,4,16/05/2013,07:00,08:30
8991,7,4,16/05/2013,07:00,08:30
7955,8,4,16/05/2013,07:00,08:30
8461,9,4,16/05/2013,07:00,08:30
