horario,dia,nombre_materia,claveempleado,,
8,2,1º10ª descarga,6178,,descarga
4,3,1º10ª descarga,6870,,descarga
5,2,1º10ª descarga,6691,,descarga
5,3,1º11ª descarga,8950,,descarga
7,3,1º11ª descarga,1234,,descarga
6,3,1º11ª descarga,6822,,descarga
5,5,1º12ª descarga,2170,,descarga
7,3,1º12ª descarga,6822,,descarga
7,4,1º12ª descarga,8950,,descarga
7,4,1º12ª descarga,9086,,descarga
5,4,1º12ª descarga,6178,,descarga
6,5,1º13ª descarga,2170,,descarga
6,2,1º13ª descarga,8991,,descarga
8,3,1º13ª descarga,6822,,descarga
8,3,1º13ª descarga,1234,,descarga
1,4,1º13ª descarga,1654,,descarga
3,4,1º14ª descarga,6822,,descarga
3,2,1º14ª descarga,6313,,descarga
5,3,1º15ª descarga,2482,,descarga
7,5,1º15ª descarga,2170,,descarga
4,4,1º15ª descarga,6822,,descarga
6,3,1º15ª descarga,8950,,descarga
2,5,1º16ª descarga,6870,,descarga
6,2,1º16ª descarga,6691,,descarga
3,1,1º17ª descarga,6870,,descarga
4,2,1º17ª descarga,6313,,descarga
5,5,1º17ª descarga,6691,,descarga
6,4,1º17ª descarga,6178,,descarga
6,3,1º18ª descarga,2482,,descarga
2,1,1º18ª descarga,8177,,descarga
1,5,1º19ª descarga,6822,,descarga
8,4,1º19ª descarga,8950,,descarga
5,4,1º19ª descarga,8177,,descarga
7,3,1º19ª descarga,6313,,descarga
3,4,1º1ª descarga,2482,,descarga
1,2,1º1ª descarga,6556,,descarga
7,2,1º1ª descarga,9086,,descarga
1,2,1º1ª descarga,6691,,descarga
3,3,1º20ª descarga,6178,,descarga
3,5,1º20ª descarga,838,,descarga
2,5,1º21ª descarga,6556,,descarga
8,3,1º21ª descarga,6313,,descarga
3,5,1º22ª descarga,2482,,descarga
7,2,1º22ª descarga,8991,,descarga
4,1,1º22ª descarga,6870,,descarga
3,4,1º22ª descarga,6313,,descarga
8,2,1º23ª descarga,8991,,descarga
2,5,1º23ª descarga,6822,,descarga
6,4,1º23ª descarga,8177,,descarga
2,4,1º23ª descarga,1654,,descarga
8,5,1º24ª descarga,2170,,descarga
4,3,1º24ª descarga,6178,,descarga
3,5,1º24ª descarga,8950,,descarga
3,3,1º24ª descarga,6870,,descarga
8,4,1º24ª descarga,9086,,descarga
4,5,1º25ª descarga,2482,,descarga
1,5,1º25ª descarga,6870,,descarga
7,5,1º25ª descarga,6556,,descarga
6,5,1º25ª descarga,6691,,descarga
7,4,1º26ª descarga,6870,,descarga
3,1,1º26ª descarga,7500,,descarga
3,2,1º26ª descarga,1654,,descarga
4,5,1º27ª descarga,8950,,descarga
3,5,1º27ª descarga,8177,,descarga
7,5,1º27ª descarga,9086,,descarga
4,4,1º27ª descarga,6313,,descarga
4,5,1º27ª descarga,838,,descarga
8,4,1º28ª descarga,6870,,descarga
4,2,1º28ª descarga,1654,,descarga
4,5,1º29ª descarga,8177,,descarga
8,5,1º29ª descarga,9086,,descarga
1,1,1º2ª descarga,1234,,descarga
2,2,1º2ª descarga,6556,,descarga
8,2,1º2ª descarga,9086,,descarga
1,1,1º2ª descarga,6313,,descarga
3,5,1º2ª descarga,8991,,descarga
3,4,1º3ª descarga,2170,,descarga
3,2,1º3ª descarga,8950,,descarga
4,4,1º3ª descarga,2482,,descarga
4,4,1º4ª descarga,2170,,descarga
7,5,1º4ª descarga,6178,,descarga
4,2,1º4ª descarga,8950,,descarga
7,4,1º5ª descarga,2170,,descarga
3,1,1º5ª descarga,6341,,descarga
2,1,1º5ª descarga,1234,,descarga
1,1,1º5ª descarga,8177,,descarga
4,5,1º5ª descarga,8991,,descarga
8,4,1º6ª descarga,2170,,descarga
5,2,1º6ª descarga,8991,,descarga
5,1,1º6ª descarga,8177,,descarga
1,5,1º6ª descarga,6556,,descarga
6,1,1º7ª descarga,8177,,descarga
7,3,1º7ª descarga,9086,,descarga
2,2,1º7ª descarga,6691,,descarga
5,3,1º7ª descarga,838,,descarga
8,5,1º8ª descarga,6178,,descarga
2,1,1º8ª descarga,6313,,descarga
3,2,1º8ª descarga,6691,,descarga
6,3,1º8ª descarga,838,,descarga
7,2,1º9ª descarga,6178,,descarga
8,3,1º9ª descarga,9086,,descarga
4,2,1º9ª descarga,6691,,descarga
5,3,1º9ª descarga,6822,,descarga
14,2,2º10ª descarga,6741,,descarga
12,3,2º10ª descarga,9395,,descarga
13,4,2º10ª descarga,2208,,descarga
9,3,2º11ª descarga,6741,,descarga
12,2,2º11ª descarga,2473,,descarga
14,1,2º11ª descarga,6526,,descarga
9,3,2º12ª descarga,3908,,descarga
13,2,2º12ª descarga,9033,,descarga
13,5,2º12ª descarga,6526,,descarga
13,4,2º13ª descarga,2473,,descarga
13,3,2º13ª descarga,9033,,descarga
11,1,2º14ª descarga,8701,,descarga
10,3,2º14ª descarga,3908,,descarga
13,4,2º14ª descarga,9033,,descarga
16,4,2º14ª descarga,6198,,descarga
13,4,2º15ª descarga,577,,descarga
14,4,2º15ª descarga,2473,,descarga
14,5,2º15ª descarga,6526,,descarga
12,1,2º16ª descarga,8701,,descarga
11,1,2º16ª descarga,6556,,descarga
13,5,2º16ª descarga,6198,,descarga
13,3,2º16ª descarga,9395,,descarga
10,3,2º17ª descarga,6741,,descarga
14,4,2º17ª descarga,577,,descarga
13,2,2º17ª descarga,1867,,descarga
11,5,2º18ª descarga,577,,descarga
12,1,2º18ª descarga,6556,,descarga
9,4,2º18ª descarga,2473,,descarga
12,5,2º19ª descarga,577,,descarga
10,4,2º19ª descarga,2473,,descarga
9,3,2º19ª descarga,6526,,descarga
14,3,2º1ª descarga,2643,,descarga
9,1,2º1ª descarga,2473,,descarga
13,1,2º1ª descarga,6526,,descarga
9,4,2º20ª descarga,3908,,descarga
13,5,2º20ª descarga,9033,,descarga
14,5,2º20ª descarga,6198,,descarga
11,2,2º20ª descarga,7582,,descarga
9,2,2º20ª descarga,6741,,descarga
12,2,2º21ª descarga,7582,,descarga
9,5,2º21ª descarga,3908,,descarga
10,2,2º21ª descarga,6741,,descarga
10,4,2º22ª descarga,3908,,descarga
14,3,2º22ª descarga,9395,,descarga
14,4,2º23ª descarga,2208,,descarga
15,4,2º2ª descarga,2643,,descarga
10,1,2º2ª descarga,2473,,descarga
9,4,2º2ª descarga,577,,descarga
10,3,2º3ª descarga,6526,,descarga
10,4,2º3ª descarga,577,,descarga
