claveempleado,dia,horario,idasignatura,idgrado,asignaturalab,seccion,semestre,nombre_materia,
406,1,13,75,2,0,9,3,Laboratorio de Biología 2,lab
406,1,14,75,2,0,9,3,Laboratorio de Biología 2,lab
406,3,13,75,2,0,5,3,Laboratorio de Biología 2,lab
406,3,14,75,2,0,5,3,Laboratorio de Biología 2,lab
406,3,15,75,2,0,10,3,Laboratorio de Biología 2,lab
406,3,16,75,2,0,10,3,Laboratorio de Biología 2,lab
406,5,15,75,2,0,14,3,Laboratorio de Biología 2,lab
406,5,16,75,2,0,14,3,Laboratorio de Biología 2,lab
430,1,9,76,2,0,8,3,Laboratorio de Física 2,lab
430,1,10,76,2,0,8,3,Laboratorio de Física 2,lab
430,1,11,75,2,0,20,3,Laboratorio de Biología 2,lab
430,1,12,75,2,0,20,3,Laboratorio de Biología 2,lab
430,1,15,76,2,0,13,3,Laboratorio de Física 2,lab
430,1,16,76,2,0,13,3,Laboratorio de Física 2,lab
430,2,9,76,2,0,12,3,Laboratorio de Física 2,lab
430,2,10,76,2,0,12,3,Laboratorio de Física 2,lab
430,2,11,76,2,0,20,3,Laboratorio de Física 2,lab
430,2,12,76,2,0,20,3,Laboratorio de Física 2,lab
430,2,13,75,2,0,19,3,Laboratorio de Biología 2,lab
430,2,14,75,2,0,19,3,Laboratorio de Biología 2,lab
430,2,15,76,2,0,6,3,Laboratorio de Física 2,lab
430,2,16,76,2,0,6,3,Laboratorio de Física 2,lab
430,3,9,75,2,0,17,3,Laboratorio de Biología 2,lab
430,3,10,75,2,0,17,3,Laboratorio de Biología 2,lab
430,3,11,76,2,0,19,3,Laboratorio de Física 2,lab
430,3,12,76,2,0,19,3,Laboratorio de Física 2,lab
430,3,13,75,2,0,5,3,Laboratorio de Biología 2,lab
430,3,14,75,2,0,5,3,Laboratorio de Biología 2,lab
430,3,15,76,2,0,17,3,Laboratorio de Física 2,lab
430,3,16,76,2,0,17,3,Laboratorio de Física 2,lab
430,4,9,76,2,0,2,3,Laboratorio de Física 2,lab
430,4,10,76,2,0,2,3,Laboratorio de Física 2,lab
430,4,11,75,2,0,11,3,Laboratorio de Biología 2,lab
430,4,12,75,2,0,11,3,Laboratorio de Biología 2,lab
430,4,13,76,2,0,9,3,Laboratorio de Física 2,lab
430,4,14,76,2,0,9,3,Laboratorio de Física 2,lab
430,4,15,76,2,0,5,3,Laboratorio de Física 2,lab
430,4,16,76,2,0,5,3,Laboratorio de Física 2,lab
430,5,9,76,2,0,16,3,Laboratorio de Física 2,lab
430,5,10,76,2,0,16,3,Laboratorio de Física 2,lab
430,5,11,76,2,0,11,3,Laboratorio de Física 2,lab
