claveempleado,dia,horario,idasignatura,idgrado,asignaturalab,seccion,semestre,nombre_materia,
0,1,15,36,2,0,9,3,Orientación Vocacional 2,asignaturas
0,1,16,36,2,0,9,3,Orientación Vocacional 2,asignaturas
0,4,15,36,2,0,12,3,Orientación Vocacional 2,asignaturas
0,4,16,36,2,0,12,3,Orientación Vocacional 2,asignaturas
406,1,15,32,2,75,5,3,Biología 2,asignaturas
406,1,16,32,2,75,5,3,Biología 2,asignaturas
406,3,11,32,2,75,5,3,Biología 2,asignaturas
406,3,12,32,2,75,5,3,Biología 2,asignaturas
406,5,13,32,2,75,5,3,Biología 2,asignaturas
577,1,9,31,2,0,15,3,Lengua Extranjera 4 (Inglés),asignaturas
577,1,10,31,2,0,15,3,Lengua Extranjera 4 (Inglés),asignaturas
577,1,11,31,2,0,5,3,Lengua Extranjera 4 (Inglés),asignaturas
577,1,12,31,2,0,5,3,Lengua Extranjera 4 (Inglés),asignaturas
577,1,13,31,2,0,19,3,Lengua Extranjera 4 (Inglés),asignaturas
577,1,14,31,2,0,19,3,Lengua Extranjera 4 (Inglés),asignaturas
577,1,15,31,2,0,18,3,Lengua Extranjera 4 (Inglés),asignaturas
577,1,16,31,2,0,18,3,Lengua Extranjera 4 (Inglés),asignaturas
577,2,9,31,2,0,5,3,Lengua Extranjera 4 (Inglés),asignaturas
577,2,10,31,2,0,5,3,Lengua Extranjera 4 (Inglés),asignaturas
577,2,13,31,2,0,2,3,Lengua Extranjera 4 (Inglés),asignaturas
577,2,14,31,2,0,2,3,Lengua Extranjera 4 (Inglés),asignaturas
577,2,15,31,2,0,19,3,Lengua Extranjera 4 (Inglés),asignaturas
577,2,16,31,2,0,19,3,Lengua Extranjera 4 (Inglés),asignaturas
577,3,9,31,2,0,18,3,Lengua Extranjera 4 (Inglés),asignaturas
577,3,10,31,2,0,18,3,Lengua Extranjera 4 (Inglés),asignaturas
577,3,11,31,2,0,17,3,Lengua Extranjera 4 (Inglés),asignaturas
577,3,12,31,2,0,17,3,Lengua Extranjera 4 (Inglés),asignaturas
577,3,13,31,2,0,2,3,Lengua Extranjera 4 (Inglés),asignaturas
577,3,14,31,2,0,2,3,Lengua Extranjera 4 (Inglés),asignaturas
577,3,15,31,2,0,3,3,Lengua Extranjera 4 (Inglés),asignaturas
577,3,16,31,2,0,3,3,Lengua Extranjera 4 (Inglés),asignaturas
577,4,11,31,2,0,8,3,Lengua Extranjera 4 (Inglés),asignaturas
577,4,12,31,2,0,8,3,Lengua Extranjera 4 (Inglés),asignaturas
577,4,15,31,2,0,3,3,Lengua Extranjera 4 (Inglés),asignaturas
577,4,16,31,2,0,3,3,Lengua Extranjera 4 (Inglés),asignaturas
577,5,9,31,2,0,8,3,Lengua Extranjera 4 (Inglés),asignaturas
577,5,10,31,2,0,8,3,Lengua Extranjera 4 (Inglés),asignaturas
577,5,13,31,2,0,17,3,Lengua Extranjera 4 (Inglés),asignaturas
577,5,14,31,2,0,17,3,Lengua Extranjera 4 (Inglés),asignaturas
577,5,15,31,2,0,15,3,Lengua Extranjera 4 (Inglés),asignaturas
577,5,16,31,2,0,15,3,Lengua Extranjera 4 (Inglés),asignaturas
648,1,9,34,2,76,1,3,Física 2,asignaturas
648,1,10,34,2,76,1,3,Física 2,asignaturas
648,2,1,55,3,80,7,5,Física 3,asignaturas
648,2,2,55,3,80,7,5,Física 3,asignaturas
648,2,3,55,3,80,1,5,Física 3,asignaturas
648,2,4,55,3,80,1,5,Física 3,asignaturas
648,2,11,34,2,76,18,3,Física 2,asignaturas
648,2,12,34,2,76,18,3,Física 2,asignaturas
648,2,15,34,2,76,12,3,Física 2,asignaturas
648,3,1,55,3,80,7,5,Física 3,asignaturas
648,3,2,55,3,80,7,5,Física 3,asignaturas
648,3,3,55,3,80,1,5,Física 3,asignaturas
648,3,4,55,3,80,1,5,Física 3,asignaturas
648,3,9,34,2,76,1,3,Física 2,asignaturas
648,3,10,34,2,76,14,3,Física 2,asignaturas
648,3,11,34,2,76,12,3,Física 2,asignaturas
648,3,12,34,2,76,12,3,Física 2,asignaturas
648,3,13,34,2,76,18,3,Física 2,asignaturas
648,3,14,34,2,76,18,3,Física 2,asignaturas
648,3,15,34,2,76,7,3,Física 2,asignaturas
648,3,16,34,2,76,7,3,Física 2,asignaturas
648,4,9,34,2,76,14,3,Física 2,asignaturas
648,4,10,34,2,76,14,3,Física 2,asignaturas
648,4,13,34,2,76,7,3,Física 2,asignaturas
648,4,14,34,2,76,18,3,Física 2,asignaturas
648,4,15,34,2,76,1,3,Física 2,asignaturas
648,4,16,34,2,76,1,3,Física 2,asignaturas
648,5,9,34,2,76,7,3,Física 2,asignaturas
648,5,10,34,2,76,7,3,Física 2,asignaturas
648,5,11,34,2,76,14,3,Física 2,asignaturas
648,5,12,34,2,76,14,3,Física 2,asignaturas
648,5,13,34,2,76,12,3,Física 2,asignaturas
648,5,14,34,2,76,12,3,Física 2,asignaturas
838,1,1,11,1,0,10,1,Lectura y Redacción 2,asignaturas
838,1,2,11,1,0,10,1,Lectura y Redacción 2,asignaturas
838,1,3,11,1,0,20,1,Lectura y Redacción 2,asignaturas
838,1,4,11,1,0,20,1,Lectura y Redacción 2,asignaturas
838,1,5,11,1,0,27,1,Lectura y Redacción 2,asignaturas
838,1,6,11,1,0,27,1,Lectura y Redacción 2,asignaturas
838,1,7,11,1,0,8,1,Lectura y Redacción 2,asignaturas
838,1,8,11,1,0,8,1,Lectura y Redacción 2,asignaturas
838,2,1,11,1,0,3,1,Lectura y Redacción 2,asignaturas
838,2,2,11,1,0,3,1,Lectura y Redacción 2,asignaturas
838,2,3,11,1,0,16,1,Lectura y Redacción 2,asignaturas
838,2,4,11,1,0,16,1,Lectura y Redacción 2,asignaturas
838,2,7,11,1,0,27,1,Lectura y Redacción 2,asignaturas
838,2,8,11,1,0,27,1,Lectura y Redacción 2,asignaturas
838,3,1,11,1,0,20,1,Lectura y Redacción 2,asignaturas
838,3,2,11,1,0,20,1,Lectura y Redacción 2,asignaturas
838,3,3,11,1,0,7,1,Lectura y Redacción 2,asignaturas
838,3,4,11,1,0,7,1,Lectura y Redacción 2,asignaturas
838,3,9,29,2,0,5,3,Análisis Literario 2,asignaturas
838,3,10,29,2,0,5,3,Análisis Literario 2,asignaturas
838,4,1,11,1,0,10,1,Lectura y Redacción 2,asignaturas
838,4,2,11,1,0,10,1,Lectura y Redacción 2,asignaturas
838,4,3,11,1,0,8,1,Lectura y Redacción 2,asignaturas
838,4,4,11,1,0,8,1,Lectura y Redacción 2,asignaturas
838,4,5,11,1,0,4,1,Lectura y Redacción 2,asignaturas
838,4,6,11,1,0,4,1,Lectura y Redacción 2,asignaturas
838,4,7,11,1,0,16,1,Lectura y Redacción 2,asignaturas
838,4,8,11,1,0,16,1,Lectura y Redacción 2,asignaturas
838,5,1,11,1,0,7,1,Lectura y Redacción 2,asignaturas
838,5,2,11,1,0,7,1,Lectura y Redacción 2,asignaturas
838,5,5,11,1,0,4,1,Lectura y Redacción 2,asignaturas
838,5,6,11,1,0,4,1,Lectura y Redacción 2,asignaturas
838,5,7,11,1,0,3,1,Lectura y Redacción 2,asignaturas
838,5,8,11,1,0,3,1,Lectura y Redacción 2,asignaturas
838,5,9,29,2,0,5,3,Análisis Literario 2,asignaturas
838,5,10,29,2,0,5,3,Análisis Literario 2,asignaturas
949,1,3,46,3,0,6,5,Principios de Ecología,asignaturas
949,1,4,46,3,0,6,5,Principios de Ecología,asignaturas
949,1,5,46,3,0,3,5,Principios de Ecología,asignaturas
949,1,6,46,3,0,3,5,Principios de Ecología,asignaturas
949,2,1,46,3,0,6,5,Principios de Ecología,asignaturas
949,2,2,46,3,0,6,5,Principios de Ecología,asignaturas
949,2,3,46,3,0,3,5,Principios de Ecología,asignaturas
949,2,4,46,3,0,3,5,Principios de Ecología,asignaturas
949,2,5,46,3,0,4,5,Principios de Ecología,asignaturas
949,2,6,46,3,0,4,5,Principios de Ecología,asignaturas
949,3,1,46,3,0,4,5,Principios de Ecología,asignaturas
949,3,2,46,3,0,4,5,Principios de Ecología,asignaturas
1234,1,3,12,1,0,26,1,Etimologías 2,asignaturas
1234,1,4,12,1,0,26,1,Etimologías 2,asignaturas
1234,1,5,12,1,0,21,1,Etimologías 2,asignaturas
1234,1,6,12,1,0,21,1,Etimologías 2,asignaturas
1234,1,7,12,1,0,28,1,Etimologías 2,asignaturas
1234,1,8,12,1,0,28,1,Etimologías 2,asignaturas
1234,2,1,12,1,0,16,1,Etimologías 2,asignaturas
1234,2,2,12,1,0,16,1,Etimologías 2,asignaturas
1234,2,3,12,1,0,11,1,Etimologías 2,asignaturas
1234,2,4,12,1,0,11,1,Etimologías 2,asignaturas
1234,2,5,12,1,0,2,1,Etimologías 2,asignaturas
1234,2,6,12,1,0,2,1,Etimologías 2,asignaturas
1234,2,7,12,1,0,5,1,Etimologías 2,asignaturas
1234,2,8,12,1,0,5,1,Etimologías 2,asignaturas
1234,3,1,12,1,0,13,1,Etimologías 2,asignaturas
1234,3,2,12,1,0,13,1,Etimologías 2,asignaturas
1234,3,3,12,1,0,21,1,Etimologías 2,asignaturas
1234,3,4,12,1,0,21,1,Etimologías 2,asignaturas
1234,3,5,12,1,0,14,1,Etimologías 2,asignaturas
1234,3,6,12,1,0,14,1,Etimologías 2,asignaturas
1234,4,1,12,1,0,16,1,Etimologías 2,asignaturas
1234,4,2,12,1,0,16,1,Etimologías 2,asignaturas
1234,4,3,12,1,0,13,1,Etimologías 2,asignaturas
1234,4,4,12,1,0,13,1,Etimologías 2,asignaturas
1234,4,5,12,1,0,2,1,Etimologías 2,asignaturas
1234,4,6,12,1,0,2,1,Etimologías 2,asignaturas
1234,4,7,12,1,0,28,1,Etimologías 2,asignaturas
1234,4,8,12,1,0,28,1,Etimologías 2,asignaturas
1234,5,1,12,1,0,26,1,Etimologías 2,asignaturas
1234,5,2,12,1,0,26,1,Etimologías 2,asignaturas
1234,5,3,12,1,0,5,1,Etimologías 2,asignaturas
1234,5,4,12,1,0,5,1,Etimologías 2,asignaturas
1234,5,5,12,1,0,14,1,Etimologías 2,asignaturas
1234,5,6,12,1,0,14,1,Etimologías 2,asignaturas
1234,5,7,12,1,0,11,1,Etimologías 2,asignaturas
1234,5,8,12,1,0,11,1,Etimologías 2,asignaturas
1291,1,3,47,3,0,3,5,Antropología,asignaturas
1291,1,4,47,3,0,3,5,Antropología,asignaturas
1291,1,5,47,3,0,2,5,Antropología,asignaturas
1291,1,6,47,3,0,2,5,Antropología,asignaturas
1291,1,7,47,3,0,6,5,Antropología,asignaturas
1291,1,8,47,3,0,6,5,Antropología,asignaturas
1291,2,5,47,3,0,7,5,Antropología,asignaturas
1291,2,6,47,3,0,7,5,Antropología,asignaturas
1291,2,7,47,3,0,5,5,Antropología,asignaturas
1291,2,8,47,3,0,5,5,Antropología,asignaturas
1291,3,1,47,3,0,8,5,Antropología,asignaturas
1291,3,2,47,3,0,8,5,Antropología,asignaturas
1291,3,5,47,3,0,2,5,Antropología,asignaturas
1291,3,6,47,3,0,2,5,Antropología,asignaturas
1291,3,7,47,3,0,6,5,Antropología,asignaturas
1291,3,8,47,3,0,6,5,Antropología,asignaturas
1291,4,1,47,3,0,4,5,Antropología,asignaturas
1291,4,2,47,3,0,4,5,Antropología,asignaturas
1291,4,3,47,3,0,5,5,Antropología,asignaturas
1291,4,4,47,3,0,5,5,Antropología,asignaturas
1291,4,5,47,3,0,7,5,Antropología,asignaturas
1291,4,6,47,3,0,7,5,Antropología,asignaturas
1291,4,7,47,3,0,1,5,Antropología,asignaturas
1291,4,8,47,3,0,1,5,Antropología,asignaturas
1291,5,1,47,3,0,1,5,Antropología,asignaturas
1291,5,2,47,3,0,1,5,Antropología,asignaturas
1291,5,3,47,3,0,4,5,Antropología,asignaturas
1291,5,4,47,3,0,4,5,Antropología,asignaturas
1291,5,5,47,3,0,8,5,Antropología,asignaturas
1291,5,6,47,3,0,8,5,Antropología,asignaturas
1291,5,7,47,3,0,3,5,Antropología,asignaturas
1291,5,8,47,3,0,3,5,Antropología,asignaturas
1346,1,11,32,2,75,17,3,Biología 2,asignaturas
1346,4,9,32,2,75,17,3,Biología 2,asignaturas
1346,4,10,32,2,75,17,3,Biología 2,asignaturas
1346,5,9,32,2,75,17,3,Biología 2,asignaturas
1346,5,10,32,2,75,17,3,Biología 2,asignaturas
1418,2,9,46,3,0,20,5,Principios de Ecología,asignaturas
1418,2,10,46,3,0,20,5,Principios de Ecología,asignaturas
