claveempleado,dia,horario,idasignatura,idgrado,asignaturalab,seccion,semestre,nombre_materia
406,1,13,156,2,0,9,3,Los seres vivos y su diversidad
406,1,14,156,2,0,9,3,Los seres vivos y su diversidad
406,1,15,156,2,0,5,3,Los seres vivos y su diversidad
406,1,16,156,2,0,5,3,Los seres vivos y su diversidad
406,3,11,156,2,0,9,3,Los seres vivos y su diversidad
406,3,12,156,2,0,9,3,Los seres vivos y su diversidad
406,3,13,156,2,0,5,3,Los seres vivos y su diversidad
406,3,14,156,2,0,5,3,Los seres vivos y su diversidad
406,4,11,160,2,0,25,3,Adjunto Los seres vivos y su diversidad
406,4,12,160,2,0,25,3,Adjunto Los seres vivos y su diversidad
406,5,12,156,2,0,9,3,Los seres vivos y su diversidad
406,5,13,156,2,0,5,3,Los seres vivos y su diversidad
421,1,11,159,2,0,13,3,Beneficios de las actividades físico deportivas y artisticas
421,1,11,159,2,0,21,3,Beneficios de las actividades físico deportivas y artisticas
421,1,12,159,2,0,21,3,Beneficios de las actividades físico deportivas y artisticas
421,1,13,159,2,0,22,3,Beneficios de las actividades físico deportivas y artisticas
421,1,14,159,2,0,22,3,Beneficios de las actividades físico deportivas y artisticas
421,2,11,159,2,0,12,3,Beneficios de las actividades físico deportivas y artisticas
421,2,12,159,2,0,12,3,Beneficios de las actividades físico deportivas y artisticas
421,2,13,159,2,0,13,3,Beneficios de las actividades físico deportivas y artisticas
421,2,14,159,2,0,13,3,Beneficios de las actividades físico deportivas y artisticas
421,3,9,159,2,0,8,3,Beneficios de las actividades físico deportivas y artisticas
421,3,10,159,2,0,8,3,Beneficios de las actividades físico deportivas y artisticas
421,4,9,159,2,0,26,3,Beneficios de las actividades físico deportivas y artisticas
421,4,10,159,2,0,26,3,Beneficios de las actividades físico deportivas y artisticas
421,5,9,159,2,0,15,3,Beneficios de las actividades físico deportivas y artisticas
421,5,10,159,2,0,15,3,Beneficios de las actividades físico deportivas y artisticas
430,1,11,160,2,0,27,3,Adjunto Los seres vivos y su diversidad
430,1,12,160,2,0,27,3,Adjunto Los seres vivos y su diversidad
430,2,11,160,2,0,24,3,Adjunto Los seres vivos y su diversidad
430,2,12,160,2,0,24,3,Adjunto Los seres vivos y su diversidad
430,2,13,160,2,0,19,3,Adjunto Los seres vivos y su diversidad
430,2,14,160,2,0,19,3,Adjunto Los seres vivos y su diversidad
430,3,13,160,2,0,26,3,Adjunto Los seres vivos y su diversidad
430,3,14,160,2,0,26,3,Adjunto Los seres vivos y su diversidad
430,3,15,160,2,0,28,3,Adjunto Los seres vivos y su diversidad
430,3,16,160,2,0,28,3,Adjunto Los seres vivos y su diversidad
430,4,15,160,2,0,21,3,Adjunto Los seres vivos y su diversidad
430,4,16,160,2,0,21,3,Adjunto Los seres vivos y su diversidad
430,5,11,160,2,0,8,3,Adjunto Los seres vivos y su diversidad
430,5,12,160,2,0,8,3,Adjunto Los seres vivos y su diversidad
430,5,13,160,2,0,29,3,Adjunto Los seres vivos y su diversidad
430,5,14,160,2,0,29,3,Adjunto Los seres vivos y su diversidad
577,1,1,90,1,0,1,1,Beginner I
577,1,2,90,1,0,1,1,Beginner I
577,1,3,90,1,0,8,1,Beginner I
577,1,4,90,1,0,8,1,Beginner I
577,1,5,90,1,0,5,1,Beginner I
577,1,6,90,1,0,5,1,Beginner I
577,1,7,90,1,0,2,1,Beginner I
577,1,8,90,1,0,2,1,Beginner I
577,2,1,90,1,0,23,1,Beginner I
577,2,2,90,1,0,23,1,Beginner I
577,2,7,90,1,0,21,1,Beginner I
577,2,8,90,1,0,21,1,Beginner I
