claveempleado,dia,horario,idasignatura,idgrado,asignaturalab,seccion,semestre,nombre_materia
8808,4,10,155,2,0,21,3,Administración contemporánea y liderazgo emprendedor
8808,4,11,155,2,0,2,3,Administración contemporánea y liderazgo emprendedor
8808,4,12,155,2,0,2,3,Administración contemporánea y liderazgo emprendedor
8808,4,13,155,2,0,5,3,Administración contemporánea y liderazgo emprendedor
8808,4,14,155,2,0,5,3,Administración contemporánea y liderazgo emprendedor
8808,4,15,155,2,0,1,3,Administración contemporánea y liderazgo emprendedor
8808,4,16,155,2,0,1,3,Administración contemporánea y liderazgo emprendedor
8808,5,9,155,2,0,5,3,Administración contemporánea y liderazgo emprendedor
8808,5,10,155,2,0,5,3,Administración contemporánea y liderazgo emprendedor
8808,5,11,155,2,0,1,3,Administración contemporánea y liderazgo emprendedor
8808,5,12,155,2,0,1,3,Administración contemporánea y liderazgo emprendedor
8808,5,15,155,2,0,2,3,Administración contemporánea y liderazgo emprendedor
8808,5,16,155,2,0,2,3,Administración contemporánea y liderazgo emprendedor
8950,1,1,90,1,0,26,1,Beginner I
8950,1,2,90,1,0,26,1,Beginner I
8950,1,3,90,1,0,11,1,Beginner I
8950,1,4,90,1,0,11,1,Beginner I
8950,1,5,90,1,0,19,1,Beginner I
8950,1,6,90,1,0,19,1,Beginner I
8950,1,7,90,1,0,3,1,Beginner I
8950,1,8,90,1,0,3,1,Beginner I
8950,2,3,90,1,0,27,1,Beginner I
8950,2,4,90,1,0,27,1,Beginner I
8950,2,5,90,1,0,15,1,Beginner I
8950,2,6,90,1,0,15,1,Beginner I
8950,2,7,90,1,0,26,1,Beginner I
8950,2,8,90,1,0,26,1,Beginner I
8950,3,5,90,1,0,3,1,Beginner I
8950,3,6,90,1,0,3,1,Beginner I
8950,3,7,90,1,0,11,1,Beginner I
8950,3,8,90,1,0,11,1,Beginner I
8950,4,1,90,1,0,13,1,Beginner I
8950,4,2,90,1,0,13,1,Beginner I
8950,4,3,90,1,0,31,1,Beginner I
8950,4,4,90,1,0,31,1,Beginner I
8950,4,5,90,1,0,19,1,Beginner I
8950,4,6,90,1,0,19,1,Beginner I
8950,5,1,90,1,0,15,1,Beginner I
8950,5,2,90,1,0,15,1,Beginner I
8950,5,3,90,1,0,13,1,Beginner I
8950,5,4,90,1,0,13,1,Beginner I
8950,5,5,90,1,0,27,1,Beginner I
8950,5,6,90,1,0,27,1,Beginner I
8950,5,7,90,1,0,31,1,Beginner I
8950,5,8,90,1,0,31,1,Beginner I
