claveempleado,dia,horario,idasignatura,idgrado,asignaturalab,seccion,semestre,nombre_materia
406,3,13,73,2,0,5,3,Laboratorio de Biología 1
406,3,14,73,2,0,5,3,Laboratorio de Biología 1
430,1,9,74,2,0,8,3,Laboratorio de Física 1
430,1,10,74,2,0,8,3,Laboratorio de Física 1
430,1,11,73,2,0,20,3,Laboratorio de Biología 1
430,1,12,73,2,0,20,3,Laboratorio de Biología 1
430,1,15,74,2,0,13,3,Laboratorio de Física 1
430,1,16,74,2,0,13,3,Laboratorio de Física 1
430,2,9,74,2,0,12,3,Laboratorio de Física 1
430,2,10,74,2,0,12,3,Laboratorio de Física 1
430,2,11,74,2,0,20,3,Laboratorio de Física 1
430,2,12,74,2,0,20,3,Laboratorio de Física 1
430,2,13,73,2,0,19,3,Laboratorio de Biología 1
430,2,14,73,2,0,19,3,Laboratorio de Biología 1
430,2,15,74,2,0,6,3,Laboratorio de Física 1
430,2,16,74,2,0,6,3,Laboratorio de Física 1
430,3,9,73,2,0,17,3,Laboratorio de Biología 1
430,3,10,73,2,0,17,3,Laboratorio de Biología 1
430,3,11,74,2,0,19,3,Laboratorio de Física 1
430,3,12,74,2,0,19,3,Laboratorio de Física 1
430,3,13,73,2,0,5,3,Laboratorio de Biología 1
430,3,14,73,2,0,5,3,Laboratorio de Biología 1
430,3,15,74,2,0,17,3,Laboratorio de Física 1
430,3,16,74,2,0,17,3,Laboratorio de Física 1
430,4,9,74,2,0,2,3,Laboratorio de Física 1
430,4,10,74,2,0,2,3,Laboratorio de Física 1
430,4,11,73,2,0,11,3,Laboratorio de Biología 1
430,4,12,73,2,0,11,3,Laboratorio de Biología 1
430,4,13,73,2,0,12,3,Laboratorio de Biología 1
430,4,14,73,2,0,12,3,Laboratorio de Biología 1
430,4,15,73,2,0,21,3,Laboratorio de Biología 1
430,4,16,73,2,0,21,3,Laboratorio de Biología 1
430,5,9,74,2,0,16,3,Laboratorio de Física 1
430,5,10,74,2,0,16,3,Laboratorio de Física 1
430,5,11,74,2,0,11,3,Laboratorio de Física 1
430,5,12,74,2,0,11,3,Laboratorio de Física 1
430,5,13,74,2,0,3,3,Laboratorio de Física 1
430,5,14,74,2,0,3,3,Laboratorio de Física 1
430,5,15,74,2,0,4,3,Laboratorio de Física 1
430,5,16,74,2,0,4,3,Laboratorio de Física 1
648,1,11,74,2,0,7,3,Laboratorio de Física 1
648,1,12,74,2,0,7,3,Laboratorio de Física 1
648,1,13,74,2,0,14,3,Laboratorio de Física 1
648,1,14,74,2,0,14,3,Laboratorio de Física 1
648,2,9,74,2,0,12,3,Laboratorio de Física 1
648,2,10,74,2,0,12,3,Laboratorio de Física 1
648,2,13,74,2,0,18,3,Laboratorio de Física 1
648,2,14,74,2,0,18,3,Laboratorio de Física 1
648,4,11,74,2,0,1,3,Laboratorio de Física 1
648,4,12,74,2,0,1,3,Laboratorio de Física 1
894,1,13,74,2,0,14,3,Laboratorio de Física 1
894,1,14,74,2,0,14,3,Laboratorio de Física 1
894,2,9,74,2,0,12,3,Laboratorio de Física 1
894,2,10,74,2,0,12,3,Laboratorio de Física 1
894,2,11,74,2,0,20,3,Laboratorio de Física 1
894,2,12,74,2,0,20,3,Laboratorio de Física 1
894,2,13,74,2,0,18,3,Laboratorio de Física 1
894,2,14,74,2,0,18,3,Laboratorio de Física 1
894,3,11,74,2,0,19,3,Laboratorio de Física 1
894,3,12,74,2,0,19,3,Laboratorio de Física 1
894,3,15,74,2,0,17,3,Laboratorio de Física 1
894,3,16,74,2,0,17,3,Laboratorio de Física 1
894,4,9,74,2,0,2,3,Laboratorio de Física 1
894,4,10,74,2,0,2,3,Laboratorio de Física 1
894,4,11,74,2,0,1,3,Laboratorio de Física 1
894,4,12,74,2,0,1,3,Laboratorio de Física 1
894,4,15,74,2,0,5,3,Laboratorio de Física 1
894,4,16,74,2,0,5,3,Laboratorio de Física 1
