claveempleado,dia,horario,idasignatura,idgrado,asignaturalab,seccion,semestre,nombre_materia
NULL,1,11,38,3,0,20,5,Análisis Literario 3
NULL,1,12,38,3,0,20,5,Análisis Literario 3
NULL,1,13,38,3,0,17,5,Análisis Literario 3
NULL,1,14,38,3,0,17,5,Análisis Literario 3
NULL,1,15,38,3,0,16,5,Análisis Literario 3
NULL,1,16,38,3,0,16,5,Análisis Literario 3
NULL,2,11,38,3,0,16,5,Análisis Literario 3
NULL,2,12,38,3,0,16,5,Análisis Literario 3
NULL,2,13,38,3,0,17,5,Análisis Literario 3
NULL,2,14,38,3,0,17,5,Análisis Literario 3
NULL,3,9,38,3,0,11,5,Análisis Literario 3
NULL,3,10,38,3,0,11,5,Análisis Literario 3
NULL,4,9,38,3,0,11,5,Análisis Literario 3
NULL,4,10,38,3,0,11,5,Análisis Literario 3
NULL,4,11,38,3,0,20,5,Análisis Literario 3
NULL,4,12,38,3,0,20,5,Análisis Literario 3
0016,1,3,1,1,0,7,1,Matemáticas 1
0016,1,4,1,1,0,7,1,Matemáticas 1
0016,1,15,20,2,0,3,3,Matemáticas 3
0016,1,16,20,2,0,3,3,Matemáticas 3
0016,2,3,1,1,0,7,1,Matemáticas 1
0016,2,4,1,1,0,7,1,Matemáticas 1
0016,3,7,1,1,0,7,1,Matemáticas 1
0016,3,8,1,1,0,7,1,Matemáticas 1
0016,3,11,20,2,0,3,3,Matemáticas 3
0016,3,12,20,2,0,3,3,Matemáticas 3
0016,4,9,20,2,0,3,3,Matemáticas 3
0016,4,10,20,2,0,3,3,Matemáticas 3
0406,1,15,2,2,73,5,3,Biología 1
0406,1,16,2,2,73,5,3,Biología 1
0406,3,11,2,2,73,5,3,Biología 1
0406,3,12,2,2,73,5,3,Biología 1
0406,5,13,2,2,73,5,3,Biología 1
0577,1,11,23,2,0,5,3,Lengua Extranjera 3 (Inglés)
0577,1,12,23,2,0,5,3,Lengua Extranjera 3 (Inglés)
0577,1,13,23,2,0,19,3,Lengua Extranjera 3 (Inglés)
0577,1,14,23,2,0,19,3,Lengua Extranjera 3 (Inglés)
0577,1,15,23,2,0,18,3,Lengua Extranjera 3 (Inglés)
0577,1,16,23,2,0,18,3,Lengua Extranjera 3 (Inglés)
0577,2,9,23,2,0,5,3,Lengua Extranjera 3 (Inglés)
0577,2,10,23,2,0,5,3,Lengua Extranjera 3 (Inglés)
0577,2,13,23,2,0,2,3,Lengua Extranjera 3 (Inglés)
0577,2,14,23,2,0,2,3,Lengua Extranjera 3 (Inglés)
0577,2,15,23,2,0,19,3,Lengua Extranjera 3 (Inglés)
0577,2,16,23,2,0,19,3,Lengua Extranjera 3 (Inglés)
0577,3,9,23,2,0,15,3,Lengua Extranjera 3 (Inglés)
0577,3,10,23,2,0,15,3,Lengua Extranjera 3 (Inglés)
0577,3,11,23,2,0,17,3,Lengua Extranjera 3 (Inglés)
0577,3,12,23,2,0,17,3,Lengua Extranjera 3 (Inglés)
0577,3,13,23,2,0,2,3,Lengua Extranjera 3 (Inglés)
0577,3,14,23,2,0,2,3,Lengua Extranjera 3 (Inglés)
0577,3,15,23,2,0,3,3,Lengua Extranjera 3 (Inglés)
0577,3,16,23,2,0,3,3,Lengua Extranjera 3 (Inglés)
0577,4,9,23,2,0,15,3,Lengua Extranjera 3 (Inglés)
0577,4,10,23,2,0,15,3,Lengua Extranjera 3 (Inglés)
0577,4,11,23,2,0,8,3,Lengua Extranjera 3 (Inglés)
0577,4,12,23,2,0,8,3,Lengua Extranjera 3 (Inglés)
0577,4,15,23,2,0,3,3,Lengua Extranjera 3 (Inglés)
0577,4,16,23,2,0,3,3,Lengua Extranjera 3 (Inglés)
0577,5,9,23,2,0,8,3,Lengua Extranjera 3 (Inglés)
0577,5,10,23,2,0,8,3,Lengua Extranjera 3 (Inglés)
0577,5,13,23,2,0,17,3,Lengua Extranjera 3 (Inglés)
0577,5,14,23,2,0,17,3,Lengua Extranjera 3 (Inglés)
0577,5,15,23,2,0,18,3,Lengua Extranjera 3 (Inglés)
0577,5,16,23,2,0,18,3,Lengua Extranjera 3 (Inglés)
0648,1,1,37,3,0,2,5,Matemáticas 5
0648,1,2,37,3,0,2,5,Matemáticas 5
0648,1,3,37,3,0,1,5,Matemáticas 5
0648,1,4,37,3,0,1,5,Matemáticas 5
0648,1,9,25,2,74,1,3,Física 1
0648,1,10,25,2,74,1,3,Física 1
0648,2,1,37,3,0,2,5,Matemáticas 5
0648,2,2,37,3,0,2,5,Matemáticas 5
0648,2,3,37,3,0,1,5,Matemáticas 5
0648,2,4,37,3,0,1,5,Matemáticas 5
0648,2,11,25,2,74,18,3,Física 1
0648,2,12,25,2,74,18,3,Física 1
