id empleado;numAula;semestre;dia;Fecha;hora ini;hora fin
7381;9;5;5;28/09/2012;15:30;16:50
6996;10;5;5;28/09/2012;15:30;16:50
8466;12;5;5;28/09/2012;15:30;16:50
6323;13;5;5;28/09/2012;15:30;16:50
9138;15;5;5;28/09/2012;15:30;16:50
6822;16;5;5;28/09/2012;15:30;16:50
3628;17;5;5;28/09/2012;15:30;16:50
2797;19;5;5;28/09/2012;15:30;16:50
7972;20;5;5;28/09/2012;15:30;16:50
648;1;5;1;01/10/2012;08:30;09:50
6554;2;5;1;01/10/2012;08:30;09:50
1291;3;5;1;01/10/2012;08:30;09:50
8989;4;5;1;01/10/2012;08:30;09:50
8950;6;5;1;01/10/2012;08:30;09:50
6827;8;5;1;01/10/2012;08:30;09:50
8950;1;1;1;24/09/2012;07:00;08:20
6556;1;1;3;26/09/2012;07:00;08:20
8950;1;1;4;27/10/2012;07:00;08:20
2482;1;1;5;28/10/2012;07:00;08:20
6877;1;1;2;25/09/2012;07:00;08:20
2796;2;1;2;25/09/2012;07:00;08:20
2961;2;1;1;24/09/2012;07:00;08:20
2961;2;1;4;27/10/2012;07:00;08:20
9086;2;1;5;28/10/2012;07:00;08:20
9086;2;1;3;26/09/2012;07:00;08:20
7955;3;1;1;24/09/2012;07:00;08:20
7969;3;1;2;25/09/2012;07:00;08:20
9116;3;1;4;27/10/2012;07:00;08:20
7955;3;1;5;28/10/2012;07:00;08:20
7763;4;1;1;24/09/2012;07:00;08:20
7763;4;1;2;25/09/2012;07:00;08:20
8261;4;1;2;25/09/2012;07:00;08:20
905;4;1;2;25/09/2012;07:00;08:20
8281;4;1;4;27/10/2012;07:00;08:20
9108;4;1;4;27/10/2012;07:00;08:20
6178;4;1;5;28/10/2012;07:00;08:20
8455;5;1;3;26/09/2012;07:00;08:20
6341;5;1;1;24/09/2012;07:00;08:20
8177;5;1;4;27/10/2012;07:00;08:20
1737;5;1;5;28/10/2012;07:00;08:20
2796;6;1;1;24/09/2012;07:00;08:20
2575;6;1;1;24/09/2012;07:00;08:20
2575;6;1;5;28/10/2012;07:00;08:20
905;6;1;1;24/09/2012;07:00;08:20
6556;6;1;4;27/10/2012;07:00;08:20
3938;6;1;3;26/09/2012;07:00;08:20
9086;7;1;1;24/09/2012;07:00;08:20
8177;7;1;2;25/09/2012;07:00;08:20
6312;7;1;3;26/09/2012;07:00;08:20
6312;7;1;4;27/10/2012;07:00;08:20
7969;7;1;5;28/10/2012;07:00;08:20
8455;8;1;2;25/09/2012;07:00;08:20
8726;8;1;2;25/09/2012;07:00;08:20
2575;8;1;2;25/09/2012;07:00;08:20
2961;8;1;3;26/09/2012;07:00;08:20
7955;8;1;4;27/10/2012;07:00;08:20
8256;9;1;1;24/09/2012;07:00;08:20
9086;9;1;2;25/09/2012;07:00;08:20
6877;9;1;4;27/10/2012;07:00;08:20
3841;9;1;5;28/10/2012;07:00;08:20
3841;9;1;3;26/09/2012;07:00;08:20
7969;10;1;1;24/09/2012;07:00;08:20
6178;10;1;2;25/09/2012;07:00;08:20
6877;10;1;3;26/09/2012;07:00;08:20
7969;10;1;4;27/10/2012;07:00;08:20
3841;11;1;1;24/09/2012;07:00;08:20
8256;11;1;2;25/09/2012;07:00;08:20
8256;11;1;3;26/09/2012;07:00;08:20
9105;11;1;4;27/10/2012;07:00;08:20
8455;12;1;1;24/09/2012;07:00;08:20
6178;12;1;3;26/09/2012;07:00;08:20
6178;12;1;4;27/10/2012;07:00;08:20
9107;12;1;5;28/10/2012;07:00;08:20
2170;12;1;2;25/09/2012;07:00;08:20
2941;13;1;2;25/09/2012;07:00;08:20
9108;13;1;5;28/10/2012;07:00;08:20
8281;13;1;5;28/10/2012;07:00;08:20
2170;13;1;1;24/09/2012;07:00;08:20
1234;13;1;3;26/09/2012;07:00;08:20
2170;13;1;4;27/10/2012;07:00;08:20
7763;14;1;5;28/10/2012;07:00;08:20
8990;14;1;5;28/10/2012;07:00;08:20
2796;14;1;5;28/10/2012;07:00;08:20
8692;14;1;1;24/09/2012;07:00;08:20
9105;14;1;2;25/09/2012;07:00;08:20
2941;15;1;1;24/09/2012;07:00;08:20
7955;15;1;2;25/09/2012;07:00;08:20
7955;15;1;3;26/09/2012;07:00;08:20
8256;15;1;4;27/10/2012;07:00;08:20
6312;15;1;5;28/10/2012;07:00;08:20
7117;16;1;1;24/09/2012;07:00;08:20
1234;16;1;2;25/09/2012;07:00;08:20
1234;16;1;4;27/10/2012;07:00;08:20
8726;17;1;4;27/10/2012;07:00;08:20
2575;17;1;4;27/10/2012;07:00;08:20
905;17;1;4;27/10/2012;07:00;08:20
6870;17;1;3;26/09/2012;07:00;08:20
6313;17;1;2;25/09/2012;07:00;08:20
6341;17;1;5;28/10/2012;07:00;08:20
2482;18;1;1;24/09/2012;07:00;08:20
6691;18;1;4;27/10/2012;07:00;08:20
8177;18;1;5;28/10/2012;07:00;08:20
2796;19;1;3;26/09/2012;07:00;08:20
