Fecha examen,Cve. Empleado,Hora inicio,Hora Fin
13/05/2013,8950,07:00,08:30
13/05/2013,2961,07:00,08:30
13/05/2013,7955,07:00,08:30
13/05/2013,7763,07:00,08:30
13/05/2013,6341,07:00,08:30
13/05/2013,905,07:00,08:30
13/05/2013,2575,07:00,08:30
13/05/2013,2796,07:00,08:30
13/05/2013,9086,07:00,08:30
13/05/2013,8182,07:00,08:30
13/05/2013,6822,07:00,08:30
13/05/2013,7969,07:00,08:30
13/05/2013,8989,07:00,08:30
13/05/2013,8455,07:00,08:30
13/05/2013,2170,07:00,08:30
13/05/2013,8692,07:00,08:30
13/05/2013,2941,07:00,08:30
13/05/2013,7117,07:00,08:30
13/05/2013,8182,07:00,08:30
13/05/2013,2482,07:00,08:30
13/05/2013,9108,07:00,08:30
13/05/2013,8281,07:00,08:30
13/05/2013,6178,07:00,08:30
13/05/2013,6556,07:00,08:30
13/05/2013,6870,07:00,08:30
13/05/2013,3938,07:00,08:30
13/05/2013,8182,07:00,08:30
13/05/2013,8182,07:00,08:30
13/05/2013,2780,07:00,08:30
13/05/2013,8461,07:00,08:30
13/05/2013,1737,07:00,08:30
14/05/2013,8461,07:00,08:30
14/05/2013,2796,07:00,08:30
14/05/2013,7969,07:00,08:30
14/05/2013,8261,07:00,08:30
14/05/2013,905,07:00,08:30
14/05/2013,7763,07:00,08:30
14/05/2013,8182,07:00,08:30
14/05/2013,8182,07:00,08:30
14/05/2013,8177,07:00,08:30
14/05/2013,8455,07:00,08:30
14/05/2013,2575,07:00,08:30
14/05/2013,8726,07:00,08:30
14/05/2013,9086,07:00,08:30
14/05/2013,6178,07:00,08:30
14/05/2013,6822,07:00,08:30
14/05/2013,2170,07:00,08:30
14/05/2013,2941,07:00,08:30
14/05/2013,9105,07:00,08:30
14/05/2013,9116,07:00,08:30
14/05/2013,1234,07:00,08:30
14/05/2013,6313,07:00,08:30
14/05/2013,8182,07:00,08:30
14/05/2013,8182,07:00,08:30
14/05/2013,8281,07:00,08:30
14/05/2013,9108,07:00,08:30
14/05/2013,6996,07:00,08:30
14/05/2013,6691,07:00,08:30
14/05/2013,8989,07:00,08:30
14/05/2013,2891,07:00,08:30
14/05/2013,3938,07:00,08:30
