Fecha examen,Cve. Empleado,Dia semana,Aula,Hora inicio,Hora Fin
13/05/2013,8950,1,1,07:00,08:30
13/05/2013,2961,1,2,07:00,08:30
13/05/2013,7955,1,3,07:00,08:30
13/05/2013,7763,1,4,07:00,08:30
13/05/2013,6341,1,5,07:00,08:30
13/05/2013,905,1,6,07:00,08:30
13/05/2013,2575,1,6,07:00,08:30
13/05/2013,2796,1,6,07:00,08:30
13/05/2013,9086,1,7,07:00,08:30
13/05/2013,8182,1,8,07:00,08:30
13/05/2013,6822,1,9,07:00,08:30
13/05/2013,7969,1,10,07:00,08:30
13/05/2013,8989,1,11,07:00,08:30
13/05/2013,8455,1,12,07:00,08:30
13/05/2013,2170,1,13,07:00,08:30
13/05/2013,8692,1,14,07:00,08:30
13/05/2013,2941,1,15,07:00,08:30
13/05/2013,7117,1,16,07:00,08:30
13/05/2013,8182,1,17,07:00,08:30
13/05/2013,2482,1,18,07:00,08:30
13/05/2013,9108,1,19,07:00,08:30
13/05/2013,8281,1,19,07:00,08:30
13/05/2013,6178,1,20,07:00,08:30
13/05/2013,6556,1,21,07:00,08:30
13/05/2013,6870,1,22,07:00,08:30
13/05/2013,3938,1,23,07:00,08:30
13/05/2013,8182,1,24,07:00,08:30
13/05/2013,8182,1,25,07:00,08:30
13/05/2013,2780,1,26,07:00,08:30
13/05/2013,8461,1,27,07:00,08:30
13/05/2013,1737,1,28,07:00,08:30
14/05/2013,8461,2,1,07:00,08:30
14/05/2013,2796,2,2,07:00,08:30
14/05/2013,7969,2,3,07:00,08:30
14/05/2013,8261,2,4,07:00,08:30
14/05/2013,905,2,4,07:00,08:30
14/05/2013,7763,2,4,07:00,08:30
14/05/2013,8182,2,5,07:00,08:30
14/05/2013,8182,2,6,07:00,08:30
14/05/2013,8177,2,7,07:00,08:30
14/05/2013,8455,2,8,07:00,08:30
14/05/2013,2575,2,8,07:00,08:30
14/05/2013,8726,2,8,07:00,08:30
14/05/2013,9086,2,9,07:00,08:30
14/05/2013,6178,2,10,07:00,08:30
14/05/2013,6822,2,11,07:00,08:30
14/05/2013,2170,2,12,07:00,08:30
14/05/2013,2941,2,13,07:00,08:30
14/05/2013,9105,2,14,07:00,08:30
14/05/2013,9116,2,15,07:00,08:30
14/05/2013,1234,2,16,07:00,08:30
14/05/2013,6313,2,17,07:00,08:30
14/05/2013,8182,2,18,07:00,08:30
14/05/2013,8182,2,19,07:00,08:30
14/05/2013,8281,2,20,07:00,08:30
14/05/2013,9108,2,20,07:00,08:30
14/05/2013,6996,2,21,07:00,08:30
14/05/2013,6691,2,22,07:00,08:30
14/05/2013,8989,2,23,07:00,08:30
14/05/2013,2891,2,24,07:00,08:30
14/05/2013,3938,2,25,07:00,08:30
14/05/2013,8182,2,26,07:00,08:30
14/05/2013,8991,2,27,07:00,08:30
14/05/2013,1654,2,28,07:00,08:30
16/05/2013,8950,4,1,07:00,08:30
16/05/2013,2961,4,2,07:00,08:30
16/05/2013,9116,4,3,07:00,08:30
16/05/2013,9108,4,4,07:00,08:30
16/05/2013,8281,4,4,07:00,08:30
16/05/2013,8177,4,5,07:00,08:30
16/05/2013,6556,4,6,07:00,08:30
16/05/2013,8991,4,7,07:00,08:30
16/05/2013,7955,4,8,07:00,08:30
16/05/2013,8461,4,9,07:00,08:30
16/05/2013,7969,4,10,07:00,08:30
16/05/2013,9105,4,11,07:00,08:30
16/05/2013,6178,4,12,07:00,08:30
16/05/2013,2170,4,13,07:00,08:30
16/05/2013,8182,4,14,07:00,08:30
16/05/2013,8989,4,15,07:00,08:30
16/05/2013,1234,4,16,07:00,08:30
16/05/2013,8726,4,17,07:00,08:30
16/05/2013,905,4,17,07:00,08:30
16/05/2013,2575,4,17,07:00,08:30
16/05/2013,6691,4,18,07:00,08:30
16/05/2013,6313,4,19,07:00,08:30
16/05/2013,8455,4,20,07:00,08:30
16/05/2013,2941,4,21,07:00,08:30
16/05/2013,2796,4,22,07:00,08:30
16/05/2013,3938,4,23,07:00,08:30
16/05/2013,8692,4,24,07:00,08:30
16/05/2013,2482,4,25,07:00,08:30
16/05/2013,2780,4,26,07:00,08:30
16/05/2013,9086,4,27,07:00,08:30
16/05/2013,6870,4,28,07:00,08:30
17/05/2013,2482,5,1,07:00,08:30
17/05/2013,9086,5,2,07:00,08:30
17/05/2013,7955,5,3,07:00,08:30
17/05/2013,6178,5,4,07:00,08:30
17/05/2013,1737,5,5,07:00,08:30
17/05/2013,2575,5,6,07:00,08:30
17/05/2013,7969,5,7,07:00,08:30
17/05/2013,8182,5,8,07:00,08:30
17/05/2013,8989,5,9,07:00,08:30
17/05/2013,8182,5,10,07:00,08:30
17/05/2013,8950,5,11,07:00,08:30
17/05/2013,9107,5,12,07:00,08:30
17/05/2013,8281,5,13,07:00,08:30
17/05/2013,9108,5,13,07:00,08:30
17/05/2013,2796,5,14,07:00,08:30
17/05/2013,7763,5,14,07:00,08:30
17/05/2013,8990,5,14,07:00,08:30
